"","groups"
"1",1
"2",1
"3",1
"4",1
"5",2
"6",2
"7",3
"8",3
"9",4
"10",4
"11",4
"12",4
"13",4
"14",4
"15",4
"16",4
"17",4
"18",4
"19",4
"20",4
"21",5
"22",4
"23",4
"24",4
"25",4
"26",4
"27",4
"28",4
"29",4
"30",4
"31",4
"32",4
"33",4
"34",4
"35",4
"36",4
"37",4
"38",4
"39",4
"40",4
"41",4
"42",4
"43",4
"44",4
"45",4
"46",4
"47",4
"48",4
"49",4
"50",4
"51",4
"52",4
"53",4
"54",4
"55",4
"56",4
"57",4
"58",4
"59",4
"60",4
"61",4
"62",4
"63",4
"64",4
"65",4
"66",4
"67",4
"68",4
"69",4
"70",4
"71",4
"72",4
"73",4
"74",4
"75",4
"76",4
"77",4
"78",4
"79",6
"80",6
"81",6
"82",2
"83",2
"84",2
"85",2
"86",7
"87",7
"88",3
"89",3
"90",7
"91",2
"92",2
"93",1
"94",6
"95",6
"96",2
"97",6
"98",2
"99",2
"100",7
"101",2
"102",2
"103",2
"104",7
"105",7
"106",1
"107",3
"108",6
"109",3
"110",2
"111",2
"112",6
"113",6
"114",2
"115",2
"116",2
"117",6
"118",6
"119",6
"120",6
"121",7
"122",2
"123",6
"124",6
"125",2
"126",6
"127",6
"128",2
"129",2
"130",7
"131",7
"132",6
"133",2
"134",2
"135",6
"136",2
"137",2
"138",7
"139",7
"140",3
"141",7
"142",6
"143",6
"144",7
"145",7
"146",6
"147",2
"148",2
"149",1
"150",1
"151",7
"152",2
"153",7
"154",7
"155",2
"156",7
"157",2
"158",7
"159",7
"160",6
"161",6
"162",2
"163",7
"164",7
"165",7
"166",6
"167",2
"168",2
"169",6
"170",2
"171",7
"172",7
"173",6
"174",2
"175",1
"176",7
"177",2
"178",7
"179",1
"180",1
"181",3
"182",1
"183",1
"184",3
"185",3
"186",3
"187",1
"188",1
"189",3
"190",3
"191",3
"192",1
"193",3
"194",1
"195",1
"196",1
"197",1
"198",1
"199",1
"200",3
"201",1
"202",1
"203",1
"204",1
"205",1
"206",1
"207",1
"208",1
"209",1
"210",1
"211",3
"212",3
"213",1
"214",3
"215",1
"216",3
"217",1
"218",1
"219",3
"220",1
"221",3
"222",1
"223",1
"224",1
"225",1
"226",3
"227",2
"228",3
"229",3
"230",1
"231",1
"232",1
"233",1
"234",1
"235",1
"236",1
"237",8
"238",1
"239",1
"240",1
"241",1
"242",1
"243",1
"244",3
"245",1
"246",1
"247",1
"248",1
"249",1
"250",1
"251",1
"252",1
"253",1
"254",1
"255",1
"256",1
"257",1
"258",1
"259",1
"260",1
"261",1
"262",1
"263",1
"264",1
"265",1
"266",1
"267",1
"268",1
"269",1
"270",1
"271",1
"272",1
"273",1
"274",1
"275",1
"276",1
"277",3
"278",1
"279",1
"280",1
"281",1
"282",1
"283",6
"284",3
"285",1
"286",1
"287",1
"288",1
"289",1
"290",1
"291",1
"292",1
"293",3
"294",1
"295",1
"296",1
"297",1
"298",1
"299",1
"300",3
"301",1
"302",1
"303",1
"304",1
"305",1
"306",1
"307",1
"308",1
"309",3
"310",1
"311",1
"312",3
"313",1
"314",1
"315",1
"316",3
"317",1
"318",1
"319",3
"320",1
"321",1
"322",1
"323",3
"324",3
"325",1
"326",1
"327",1
"328",1
"329",1
"330",1
"331",1
"332",1
"333",1
"334",1
"335",1
"336",1
"337",6
"338",8
"339",1
"340",1
"341",1
"342",1
"343",1
"344",1
"345",1
"346",1
"347",6
"348",8
"349",8
"350",8
"351",8
"352",8
"353",8
"354",8
"355",8
"356",3
"357",3
"358",3
"359",3
"360",6
"361",3
"362",3
"363",3
"364",1
"365",6
"366",3
"367",3
"368",3
"369",3
"370",3
"371",3
"372",3
"373",3
"374",3
"375",6
"376",3
"377",3
"378",3
"379",3
"380",3
"381",3
"382",3
"383",7
"384",3
"385",3
"386",3
"387",1
"388",3
"389",3
"390",2
"391",3
"392",3
"393",3
"394",3
"395",1
"396",1
"397",3
"398",3
"399",3
"400",3
"401",3
"402",3
"403",3
"404",3
"405",3
"406",3
"407",3
"408",2
"409",3
"410",2
"411",3
"412",3
"413",3
"414",3
"415",3
"416",3
"417",7
"418",3
"419",2
"420",2
"421",3
"422",7
"423",1
"424",3
"425",3
"426",3
"427",3
"428",1
"429",2
"430",3
"431",1
"432",3
"433",3
"434",1
"435",3
"436",6
"437",1
"438",1
"439",3
"440",3
"441",1
"442",1
"443",3
"444",3
"445",7
"446",3
"447",1
"448",6
"449",3
"450",3
"451",1
"452",1
"453",3
"454",3
"455",1
"456",1
"457",3
"458",3
"459",3
"460",3
"461",3
"462",6
"463",3
"464",1
"465",1
"466",3
"467",6
"468",1
"469",3
"470",1
"471",3
"472",3
"473",3
"474",3
"475",1
"476",3
"477",3
"478",3
"479",1
"480",3
"481",3
