"","groups"
"1",1
"2",2
"3",1
"4",3
"5",3
"6",4
"7",4
"8",3
"9",3
"10",4
"11",1
"12",2
"13",1
"14",1
"15",2
"16",4
"17",4
"18",4
"19",4
"20",2
"21",2
"22",4
"23",4
"24",4
"25",3
"26",4
"27",2
"28",1
"29",4
"30",2
"31",4
"32",4
"33",4
"34",2
"35",2
"36",4
"37",4
"38",3
"39",3
"40",4
"41",4
"42",2
"43",4
"44",2
"45",1
"46",4
"47",1
"48",1
"49",1
"50",1
"51",4
"52",2
"53",4
"54",4
"55",4
"56",2
"57",4
"58",4
"59",3
"60",4
"61",3
"62",4
"63",3
"64",2
"65",2
"66",1
"67",2
"68",2
"69",2
"70",4
"71",2
"72",3
"73",4
"74",4
"75",2
"76",4
"77",4
"78",2
"79",2
"80",2
"81",2
"82",4
"83",4
"84",4
"85",2
"86",4
"87",4
"88",4
"89",4
"90",2
"91",2
"92",4
"93",2
"94",2
"95",2
"96",4
"97",2
"98",2
"99",4
"100",4
"101",2
"102",4
"103",4
"104",2
"105",3
"106",2
"107",4
"108",4
"109",4
"110",1
"111",2
"112",4
"113",4
"114",3
"115",2
"116",2
"117",4
"118",2
"119",1
"120",4
"121",4
"122",2
"123",4
"124",2
"125",1
"126",4
"127",4
"128",1
"129",2
"130",2
"131",3
"132",1
"133",4
"134",2
"135",4
"136",4
"137",2
"138",4
"139",2
"140",4
"141",2
"142",2
"143",2
"144",4
"145",4
"146",4
"147",2
"148",2
"149",4
"150",4
"151",2
"152",4
"153",2
"154",2
"155",4
"156",2
"157",4
"158",4
"159",4
"160",4
"161",2
"162",2
"163",1
"164",3
"165",4
"166",2
"167",4
"168",2
"169",1
"170",2
"171",3
"172",2
"173",4
"174",4
"175",3
"176",4
"177",4
"178",4
"179",2
"180",2
"181",4
"182",4
"183",4
"184",2
"185",2
"186",4
"187",4
"188",2
"189",4
"190",2
"191",1
"192",4
"193",4
"194",4
"195",1
"196",2
"197",4
"198",4
"199",4
"200",4
"201",4
"202",2
"203",4
"204",4
"205",4
"206",4
"207",4
"208",4
"209",2
"210",2
"211",4
"212",2
"213",1
"214",4
"215",3
"216",2
"217",4
"218",2
"219",2
"220",2
"221",4
"222",4
"223",4
"224",4
"225",2
"226",3
"227",3
"228",3
"229",3
"230",3
"231",4
"232",4
"233",1
"234",4
"235",3
"236",4
"237",2
"238",4
"239",3
"240",3
"241",2
"242",4
"243",4
"244",2
"245",4
"246",2
"247",3
"248",3
"249",4
"250",4
"251",3
"252",4
"253",3
"254",4
"255",2
"256",3
"257",3
"258",1
"259",2
"260",2
"261",4
"262",4
"263",4
"264",2
"265",2
"266",3
"267",4
"268",2
"269",4
"270",3
"271",4
"272",1
"273",2
"274",2
"275",3
"276",2
"277",4
"278",4
"279",4
"280",3
"281",2
"282",2
"283",2
"284",4
"285",2
"286",3
"287",2
"288",3
"289",4
"290",3
"291",1
"292",2
"293",2
"294",2
"295",4
"296",2
"297",2
"298",4
"299",2
"300",4
"301",2
"302",2
"303",4
"304",2
"305",4
"306",1
"307",3
"308",2
"309",1
"310",2
"311",4
"312",2
"313",3
"314",1
"315",2
"316",4
"317",4
"318",4
"319",4
"320",2
"321",2
"322",1
"323",2
"324",4
"325",4
"326",3
"327",2
"328",4
"329",4
"330",2
"331",2
"332",2
"333",4
"334",1
"335",2
"336",4
"337",4
"338",4
"339",4
"340",2
"341",4
"342",4
"343",4
"344",4
"345",4
"346",4
"347",4
"348",3
"349",1
"350",1
"351",3
"352",4
"353",4
"354",2
"355",3
"356",2
"357",4
"358",3
"359",3
"360",3
"361",3
"362",4
"363",1
"364",2
"365",2
"366",4
"367",2
"368",4
"369",4
"370",4
"371",4
"372",4
"373",4
"374",4
"375",2
"376",2
"377",4
"378",4
"379",4
"380",4
"381",4
"382",4
"383",4
"384",4
"385",4
"386",2
"387",4
"388",4
"389",1
"390",1
"391",4
"392",1
"393",4
"394",1
"395",4
"396",4
"397",4
"398",4
"399",4
"400",4
"401",4
"402",4
"403",1
"404",4
"405",1
"406",4
"407",4
"408",4
"409",1
"410",1
"411",1
"412",1
"413",3
"414",4
"415",2
"416",2
"417",1
"418",1
"419",2
"420",2
"421",1
"422",2
"423",2
"424",4
"425",2
"426",4
"427",4
"428",4
"429",4
"430",4
"431",4
"432",3
"433",4
"434",4
"435",4
"436",1
"437",2
"438",4
"439",4
"440",4
"441",2
"442",3
"443",4
"444",4
"445",4
"446",4
"447",4
"448",4
"449",4
"450",3
"451",4
